City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Bogotol,RU,56.2078,89.5342,28.94,97,100,12.21,snow
330,Maxixe,MZ,-23.8597,35.3472,76.86,62,100,16.6,overcast clouds
331,Santa Rosa,PH,14.3122,121.1114,83.1,75,100,8.43,overcast clouds
332,Ambon,ID,-3.6954,128.1814,80.42,79,100,6.82,overcast clouds
333,Copiapo,CL,-27.3667,-70.3333,58.69,43,0,4.25,clear sky
334,Shumskiy,RU,54.8318,99.1328,28.65,89,100,3.85,overcast clouds
335,Shenjiamen,CN,29.9576,122.298,59.4,87,1,13.22,clear sky
336,Bicholim,IN,15.5869,73.9462,82.9,80,99,3.87,overcast clouds
337,Ambatondrazaka,MG,-17.8333,48.4167,71.06,77,49,7.92,scattered clouds
338,La Solana,ES,38.9442,-3.2381,61.0,64,91,12.59,overcast clouds
339,Korla,CN,41.7597,86.1469,74.44,15,65,4.0,broken clouds
340,Kamenka,RU,51.3223,42.7678,51.58,84,92,4.81,overcast clouds
341,Smithers,CA,54.7804,-127.1743,25.05,93,15,3.33,few clouds
342,Saint Anthony,US,45.0205,-93.218,39.06,51,0,4.61,clear sky
343,Kedrovyy,RU,56.1667,91.8167,30.87,95,100,4.94,overcast clouds
